Name,Image,Species,Personality,Gender,Birthday,Default Catchphrase,Default Clothing,Default Umbrella,Liked Look,Disliked Look,Favorite Color,Favorite Series,Furniture Taste #1,Furniture Taste #2,Furniture,House Song,Wallpaper,Carpet,Starting Villager,Name (Japanese),Name (Spanish),Name (French),Name (German),Name (Italian),Name (Korean),Catchphrase (Japanese),Catchphrase (Spanish NA),Catchphrase (Spanish EU),Catchphrase (French NA),Catchphrase (French EU),Catchphrase (German),Catchphrase (Italian),Catchphrase (Korean),New to Series,Notes,Villager ID,Hex ID
Tutu,,Bear,Peppy,Female,September 15,twinkles,heart shirt,daisy umbrella,fresh,cool,pink,Cabin,dignified,trendy,classic buffet; basic red bed; Mama bear; pink kotatsu; refrigerator; retro TV; stove;,K.K. Steppe,mod wall,cabana flooring,Yes,れんにゅう,Tutú,Tutu,Mandy,Lola,연유,ファイト,fisflash,fisflash,pic pic,pic pic,hooonig,gnifa,사르르,No,,bea07,000A
Grizzly,,Bear,Cranky,Male,July 31,grrr...,three-ball shirt,busted umbrella,refined,cute,brown,Cabin,dignified,retro,hearth; king salmon; exotic chest; barbel steed; eagle pole; tall percoloid; paulownia closet; frog-woman pole;,K.K. Dirge,cabin wall,western desert,Yes,ムー,Gruñón,Grizzly,Gerald,Grizzly,무뚝,だクマ,tostón,tostón,canaillou,canaillou,grrr,grrr,냅둬,No,,bea09,000B
Jay,,Bird,Jock,Male,July 17,heeeeeyy,six-ball shirt,yellow umbrella,gaudy,fresh,blue,Classic,playful,trendy,classic bed; cream sofa; vibraphone; violin; phonograph; bass; rocking chair; cello;,K.K. Waltz,ornate wall,classic carpet,Yes,ツバクロ,Jota,Gérard,Jan,Jet,참돌이,でおます,heeey,heeey,maaaaaais,maaaaaais,hiiiijjj,cipinci,그쵸,No,,brd00,000C
Robin,,Bird,Snooty,Female,December 4,la-di-da,kiwi shirt,blue umbrella,fresh,refined,aqua,Classic,playful,trendy,pine table; regal sofa; salmon; classic buffet; birdcage; snake plant; exotic lamp; birdcage; turntable;,K.K. Bossa,lattice wall,kitchen tile,Yes,パーチク,Aria,Robie,Jule,Rossana,파틱,さ,picatoste,picatoste,ta-di-da,ta-di-da,ladida,yuppidù,글쎄,No,,brd01,000D
Anchovy,,Bird,Lazy,Male,March 4,chuurp,earthy knit,yellow umbrella,strange,stylish,colorful,Modern,dignified,retro,blue table; green counter; retro stereo; pinball machine; pinball machine; pinball machine; pinball machine; pinball machine;,K.K. Ragtime,modern wall,parquet floor,Yes,アンチョビ,Boquerón,Miguel,Armin,Acciuga,안쵸비,でシ,piu-piu,piu-piu,muf-muf,muf-muf,tschurp,ciripì,이어라,No,,brd02,000E
Twiggy,,Bird,Peppy,Female,July 13,cheepers,barber shirt,gelato umbrella,striking,subtle,blue,Ranch,playful,retro,blue bookcase; gold stereo; blue bureau; ranch bed; cabana vanity; Baby bear; warbloid; corn plant; gargloid;,K.K. Calypso,ranch wall,checkered tile,Yes,ピーチク,Tití,Titi,Twiggy,Titti,핀틱,ッピ,tirití,tirití,zut,coolos,zwirtschi,ciiip,크,No,,brd03,000F
Jitters,,Bird,Jock,Male,February 2,bzzert,Latin uniform,bat umbrella,fresh,cute,yellow,Cabana,dignified,trendy,picnic table; hammock; clothesline pole; lawn mower; red boom box; oil drum; mega fizzoid; oil drum;,K.K. Samba,shanty wall,backyard lawn,Yes,ジーニョ,Camelio,Gilbert,Alex,Brivido,딩요,だニョ,pío-pío,pío-pío,bouerk,bouerk,zischhh,bzzert,삼바,No,,brd04,0010
Midge,,Bird,Normal,Female,March 12,tweedledee,new spring shirt,Toad parasol,cute,cool,pink,Lovely,dignified,trendy,regal bed; lovely kitchen; lovely dresser; lovely vanity; lovely lamp; lovely end table; lovely chair; red tie-dye;,K.K. Lullaby,rose wall,birch flooring,Yes,うずまき,Paloma,Michèle,Anna,Minù,핑글이,キョン,arrurrú,arrurrú,loulou,loulou,twitiriti,firulì,핑그르르,No,,brd08,0011
Angus,,Bull,Cranky,Male,April 30,macmoo,flame shirt,flame umbrella,refined,funky,green,Ranch,dignified,retro,ranch table; high-end stereo; ranch dresser; cream sofa; billiard table; Pantheon post; dart board; rocking chair; Pantheon post; rocking chair;,Señor K.K.,library wall,charcoal tile,Yes,セルバンテス,Aliste,Angus,Angus,Angus,반데스,ふふ,buuum,cuernos,meuh meuh,meuh meuh,brrruzzl,macmoo,후후,No,,bul00,0012
Rodeo,,Bull,Lazy,Male,October 29,chaps,beatnik shirt,blue dot parasol,gaudy,cute,red,Modern,dignified,trendy,blue table; gold stereo; red sofa; blue bed; cabin bookcase; cactus; men's toilet; purple lava lamp; mini drilloid; harmonoid;,K.K. Gumbo,groovy wall,ceramic tile,Yes,ロデオ,Rodeo,Flèche,Toro,Rodeo,로데오,さすがに,olé,olé,crac,crac,oléolé,oléolé,디용,No,,bul01,0013
Bob,,Cat,Lazy,Male,January 1,pthhpth,blossom shirt,gelato umbrella,cool,stylish,colorful,Kiddie,dignified,trendy,kiddie table; kiddie couch; kiddie stereo; kiddie bed; kiddie dresser; kiddie bureau; kiddie clock; kiddie wardrobe; kiddie chair; kiddie bookcase;,K.K. Ragtime,kiddie wall,kiddie carpet,Yes,ニコバン,Arándano,Robert,Jens,Bob,히죽,ネコ,zarpas,zarpas,pfioupf,pfioupf,psssps,baffo,고양이,No,,cat00,0014
Mitzi,,Cat,Normal,Female,September 25,mew,gumdrop shirt,melon umbrella,fresh,striking,brown,Cabana,dignified,trendy,blue table; cabana bookcase; cabana screen; blue bed; cabana dresser; ukulele; warbloid; exotic chair; fan palm; red boom box;,K.K. Swing,modern wall,ranch flooring,Yes,マール,Misi,Mistigri,Miezi,Zampetta,마르,ニャー,misi-misi,misi-misi,meeeeeh,meeeeeh,muh,miao,야～옹,No,,cat01,0015
Rosie,,Cat,Peppy,Female,February 27,silly,dazed shirt,mint umbrella,cute,strange,red,Lovely,dignified,retro,blue table; red sofa; retro stereo; green counter; claw-foot tub; sandbag; kitschy clock; grapefruit table; snowboard; gas pump;,Rockin' K.K.,mod wall,cowhide rug,Yes,ブーケ,Minina,Rosie,Sophie,Grinfia,부케,チェキ,miaaau,miaaau,flûte,flûte,flöt,tontolon,헤이,No,,cat02,0016
Olivia,,Cat,Snooty,Female,February 3,purrr,floral knit,elegant umbrella,stylish,strange,white,Regal,dignified,retro,ivory piano; regal sofa; retro stereo; regal bookcase; regal dresser; bass; regal armoire; snake plant; regal lamp; regal vanity;,Two Days Ago,ornate wall,classic carpet,Yes,オリビア,Olivia,Olivia,Bianca,Micina,올리비아,なんやん,uñas,raspas,rrrrrrrrr,rrrrrrrrr,schnurr,purrr,머냐,No,,cat03,0017
Kiki,,Cat,Normal,Female,October 8,kitty cat,argyle knit,ribbon umbrella,subtle,gaudy,brown,Ranch,dignified,retro,pine table; retro stereo; ranch couch; ranch dresser; cabana lamp; pine chair; round cactus; mega bovoid; cactus;,K.K. Country,mod wall,music-room floor,Yes,キャビア,Ágata,Kiki,Kiki,Kiki,캐비어,だニ,turrón,galletita,ti-minou,chti minou,miausi,mieaoo,뭐라지요,No,,cat04,0018
Tangy,,Cat,Peppy,Female,June 17,reeeeOWR,chain-gang shirt,Toad parasol,funky,strange,orange,Cabana,dignified,trendy,watermelon table; cream sofa; kiddie stereo; pineapple bed; cabana dresser; pear wardrobe; orange chair; pear dresser; apple clock; lime chair;,Señor K.K.,citrus wall,citrus carpet,Yes,ヒャクパー,Tricia,Marine,Tanja,Arancina,백프로,みかん,mandarinas,mandarinas,roooaR,roooaR,grraul,miiiiaOU,귤귤,No,,cat05,0019
Punchy,,Cat,Lazy,Male,April 11,mrmpht,gray tartan,blue umbrella,funky,gaudy,blue,Blue,dignified,trendy,blue table; blue bench; gold stereo; blue bookcase; blue bed; cactus; gold econo-chair; stove; refrigerator; gold econo-chair;,K.K. Love Song,mod wall,blue flooring,Yes,ビンタ,Félix,Cédric,Julian,Felix,빙티,だのら,arenque,arenque,blébléblé,blébléblé,mrmpft,maramao,노라줘,No,,cat06,001A
Purrl,,Cat,Snooty,Female,May 29,kitten,asian shirt,Toad parasol,funky,gaudy,gray,Exotic,dignified,trendy,exotic bed; classic sofa; hi-fi stereo; cabana bookcase; exotic screen; mega fizzoid; antique clock; birdcage; red armchair; corn plant;,K.K. Swing,concrete wall,checkered tile,Yes,たま,Wanda,Perle,Franka,Felidia,타마,ふんっ,tontaina,tontaina,chaton,chaton,kätzchen,micetto,냠,No,,cat07,001B
Moe,,Cat,Lazy,Male,January 12,myawn,BB shirt,daisy umbrella,striking,fresh,colorful,Green,dignified,trendy,green table; dice stereo; blue bed; kiddie dresser; mop; skeleton; clear model; vision tester; trunk measure;,K.K. Ragtime,green wall,music-room floor,Yes,ジンペイ,Tristán,Momo,Tristan,Moe,진상,な,grrrroou,grrrroou,miou,miou,schluchz,myawn,그치,No,,cat08,001C
Kabuki,,Cat,Cranky,Male,November 29,meooo-OH,misty shirt,paper parasol,refined,funky,purple,Classic,dignified,retro,hearth; black katana; screen; reel-to-reel; Japanese drum; tall oombloid; giant dharma; mochi pestle;,K.K. Folk,shoji screen,tatami,No,かぶきち,Kabuki,Kabuki,Kabuki,Kabuki,가북희,ぃよぉー,imikimono,imikimono,mia-ouh,mia-ouh,miiiau,meooo-OH,꺄,No,,cat09,001D
Kid Cat,,Cat,Jock,Male,August 1,psst,No. 1 shirt,red umbrella,cool,subtle,red,Robo,dignified,trendy,basketball hoop; clothesline pole; blue bench; iron frame; weight bench; red drum; retro TV; robo-stereo; garbage pail; office locker;,Go K.K. Rider!,chainlink fence,sandlot,No,1ごう,Gatomán,Câlin,Petra,Zampa,1호,とぉっ,soldado,soldado,psst,psst,maunz,psst,얍,No,,cat10,001E
Monique,,Cat,Snooty,Female,September 30,pffffft,grape shirt,ribbon umbrella,cute,cool,pink,Lovely,dignified,retro,lovely bed; lovely dresser; lovely table; retro stereo; cream sofa; lovely lamp; lovely vanity; lovely chair; tulip table; iris table;,K.K. Swing,groovy wall,ceramic tile,Yes,ジェーン,Monique,Monique,Monique,Marylin,제인,ウフーン,ronrón,ronrón,pffffft,pffffft,mrrrrrrr,miaù,우,No,,cat11,001F
Tabby,,Cat,Peppy,Female,August 13,me-WOW,bone shirt,blue umbrella,striking,fresh,black,Modern,dignified,retro,modern bed; modern table; red sofa; modern desk; red armchair; ponderosa bonsai; red boom box; pine bonsai; green lava lamp;,To the Edge,illusion wall,illusion floor,Yes,トラこ,Liana,Tigri,Zita,Lisca,호냥이,にゃは,animiaul,animiaul,mi-AOUUH,mi-AOUUH,mrriau,meOW,삐뽀,No,,cat12,0020
Stinky,,Cat,Jock,Male,August 17,GAAHHH,splendid shirt,flame umbrella,strange,stylish,blue,Blue,dignified,trendy,red corner; boxing mat; boxing mat; boxing mat; ringside table; red boom box; boxing barricade; folding chair; folding chair; judge's bell;,Go K.K. Rider!,ringside seating,boxing ring mat,No,アセクサ,Micifuz,Tupux,Stefan,Puzzolo,땀띠,ダァーッ,marramiau,marramiau,miaou,miaou,fauchch,GAAHHH,아뵤,No,,cat13,0021
Kitty,,Cat,Snooty,Female,February 15,mrowrr,crewel shirt,lacy parasol,stylish,refined,white,Regal,dignified,trendy,regal bed; gold stereo; regal bookcase; classic clock; red armchair; classic table; red armchair; rose shirt;,K.K. Étude,rose wall,fancy carpet,Yes,ショコラ,Kasandra,Kitty,Katja,Ester,쇼콜라,フフ,cascabel,cascabel,miaaaouh,miaaaouh,miezmiez,fusolo,자갸,No,,cat14,0022
Tom,,Cat,Cranky,Male,December 10,me-YOWZA,BB shirt,flame umbrella,cool,cute,brown,Exotic,dignified,retro,ranch table; exotic screen; glass-top table; exotic end table; exotic end table; CD player; exotic lamp; mega oombloid;,K.K. Rally,exquisite wall,exquisite rug,Yes,バンタム,Zapirón,Tom,Timo,Isidoro,밴덤,ちぇっ,miooou,miooou,mistigri,mistigri,fauch,mi-IAO,쳇,No,,cat15,0023
Merry,,Cat,Peppy,Female,June 29,mweee,daisy shirt,yellow umbrella,cute,refined,aqua,Classic,dignified,trendy,green table; kitchen sink; hi-fi stereo; garbage pail; jade econo-chair; stove; gold econo-chair; ruby econo-chair;,DJ K.K.,mod wall,birch flooring,Yes,さっち,Susi,Suzy,Mischka,Katy,유네찌,にゃん,grrrr,tralará,miou-mi,miou-mi,prrrrr,pffffft,냥냥,No,,cat16,0024
Felicity,,Cat,Peppy,Female,March 30,mimimi,dapper shirt,Toad parasol,cute,cool,beige,Classic,dignified,trendy,pine table; wide-screen TV; kitchen sink; fan; refrigerator; pine chair; pine chair; pine chair;,K.K. Lullaby,meadow vista,daisy meadow,Yes,みかっち,Micha,Maud,Minka,Milly,예링,ね,maaaow,miauito,chatounet,chatounet,mauzi,meeeow,우앙,No,,cat17,0025
Lolly,,Cat,Normal,Female,March 27,bonbon,natty shirt,yellow umbrella,cute,gaudy,yellow,Classic,dignified,trendy,pine table; hi-fi stereo; pineapple bed; fan palm; apple TV; pear dresser; pine chair; pear wardrobe;,K.K. Parade,citrus wall,citrus carpet,Yes,ラムネ,Feli,Linette,Ferdi,Maty,사이다,あのね,purrrr,purrrr,ron-ron,ron-ron,kratz,purrrr,퐁퐁,No,,cat18,0026
Ankha,,Cat,Snooty,Female,September 22,me meow,Egyptian outfit,leaf umbrella,stylish,funky,yellow,Regal,dignified,retro,pyramid; sphinx; retro stereo; corn plant; tiki torch; tiki torch; broken post; mummy's casket;,Marine Song 2001,ancient wall,ancient tile,No,ナイル,Patri,Neferti,Kleo,Cleo,클레오,クフフ,marramius,marramius,mi-i-i-ouh,mi-i-i-ouh,mi-miau,miao miao,파트라,No,,cat19,0027
Bluebear,,Cub,Peppy,Female,June 24,peach,lemon gingham,blue dot parasol,funky,gaudy,blue,Blue,playful,trendy,blue table; blue bed; cabana table; blue bench; blue wardrobe; red boom box; blue clock; coconut palm; rock guitar;,K.K. Ska,exotic wall,cabana flooring,Yes,グルミン,Celeste,Myrtille,Birte,Azzurra,글루민,キュン,cielito,cielito,cocotte,prune,früchtchen,pepè,두근,No,,cbr00,0028
Maple,,Cub,Normal,Female,June 15,honey,citrus gingham,petal parasol,cute,striking,yellow,Ranch,dignified,trendy,ranch table; retro stereo; sewing machine; ranch couch; ranch tea table; mini lullaboid; Baby bear; Mama bear; tall lullaboid; Baby bear;,I Love You,ranch wall,ranch flooring,Yes,メープル,Dulce,Léa,Mona,Dulcinea,메이첼,だベア,trufita,caramelito,chouchou,chouchou,darling,miele,저기요,No,,cbr01,0029
Poncho,,Cub,Jock,Male,January 2,li'l bear,blue grid shirt,beach umbrella,subtle,strange,orange,Cabin,playful,trendy,modern bed; cream sofa; mountain bike; modern cabinet; rubber tree; tall droploid; classic table; mini dekkoid; mini drilloid;,K.K. Condor,music-room wall,steel flooring,Yes,ポンチョ,Poncho,Théo,Toni,Poncho,봉추,モン,bolita,bolita,nounours,nounours,bärli,babà,몽,No,,cbr02,002A
Pudge,,Cub,Lazy,Male,June 11,pudgy,chichi print,green umbrella,striking,cute,blue,Kiddie,dignified,retro,Arwing; elephant slide; mountain bike; hospital bed; executive toy; red boom box; barber's pole; mochi pestle; tall sputnoid;,Rockin' K.K.,ornate wall,green rug,Yes,きんぞう,Bollito,Gradub,Bertram,Tombolo,우띠,んもう,rebollos,rebollos,loulou,louloute,griesgram,pulcino,아이참,No,,cbr03,002B
Kody,,Cub,Jock,Male,September 28,grah grah,orange check tee,sunny parasol,cool,refined,colorful,Exotic,dignified,retro,moon; sea bass; salmon; djimbe drum; bear pole; eagle pole; gongoid; oombloid;,K.K. Country,ancient wall,exotic rug,Yes,アイダホ,Orestes,Bill,Bernd,Salomone,아이다호,のこころ,suave,mola,grih grih,grih grih,okeydokey,oki-doki,나는나야,No,,cbr04,002C
Stitches,,Cub,Lazy,Male,February 10,stuffin',star shirt,bat umbrella,funky,cool,colorful,Kiddie,playful,trendy,train set; elephant slide; kiddie dresser; kiddie stereo; hammock; green lamp; rocking horse; jack-in-the-box;,K.K. Lullaby,playroom wall,playroom rug,Yes,パッチ,Parches,Miro,Berry,Toppetta,패치,なのれす,panecillo,peluche,ou bien,ou bien,brummm,ohilà,그런거죠,No,,cbr05,002D
Vladimir,,Cub,Cranky,Male,August 2,nyet,lite polka shirt,flame umbrella,strange,cute,yellow,Robo,dignified,retro,steam roller; iron frame; robo-bed; handcart; detour arrow; jackhammer; traffic cone; tape deck;,Agent K.K.,chainlink fence,sandlot,Yes,ガビ,Vladimir,Vladimir,Vladimir,Vladimir,곰비,やんけ,nyet,nyet,niet,niet,nastrovje,nyet,참말로,No,,cbr06,002E
Goose,,Chicken,Jock,Male,October 4,buh-kay,tropical shirt,paper parasol,strange,refined,white,Exotic,dignified,trendy,ranch table; ranch couch; retro stereo; ranch bed; lady palm; exotic chair; classic table; rocking horse; ranch armchair;,K.K. Country,floral wall,plank flooring,Yes,ケンタ,Gus,Pouli,Konrad,Chiricò,건태,だコケ,caracol,caracol,bouyaka,bouyaka,buaa-ka-ka,cucù,키득,No,,chn00,002F
Benedict,,Chicken,Lazy,Male,October 10,uh-hoo,two-ball shirt,Toad parasol,strange,cool,yellow,Green,playful,trendy,wave breaker; iron frame; iron frame; hospital bed; jackhammer; striped cone; red drum; wet roadway sign; drilloid;,I Love You,backyard fence,closed road,Yes,ぺしみち,Benito,Dimitri,Benedikt,Biagio,페니실린,ウヒョー,cocorico,cocorico,oh oh,oh oh,putputtt,uh-hoo,우힛,No,,chn01,0030
Egbert,,Chicken,Lazy,Male,October 14,doodle-duh,swell shirt,blue umbrella,subtle,striking,red,Robo,dignified,retro,robo-table; cream sofa; space shuttle; mini dinkoid; robo-clock; mega dinkoid; dinosaur egg; robo-stereo;,K.K. Technopop,mosaic wall,blue flooring,Yes,しもやけ,Norberto,Herbert,Waldemar,Chicco,김희,だヨ,kikirikí,kikirikí,di di dou,di di dou,duudle-du,du du du,짜잔,No,,chn02,0031
Becky,,Chicken,Snooty,Female,December 9,chicklet,noble shirt,elegant umbrella,stylish,fresh,purple,Regal,dignified,retro,ebony piano; blue bed; hi-fi stereo; modern table; regal dresser; modern lamp; bass; cello; violin;,K.K. Aria,mosaic wall,plaza tile,Yes,アリア,Ramina,Sonya,Inga,Annetta,아리아,ハレルヤ,cucurrús,cucurrús,glou-glou,glou-glou,bokbok,coccoricò,도레미,No,,chn09,0032
Patty,,Cow,Peppy,Female,May 10,how-now,citrus shirt,gelato umbrella,cute,subtle,red,Cabana,dignified,trendy,cabana bed; cabana screen; cabana table; Red Tulips; birdcage; cabana wardrobe; white boom box; cabana chair;,K.K. Calypso,ranch wall,cabana flooring,Yes,カルピ,Vacarena,Margaux,Patricia,Patty,밀크,だモー,muuuu,muuuu,allez,allez,muuhna,truuulà,음메,No,,cow00,0033
Tipper,,Cow,Snooty,Female,August 25,pushy,rainbow shirt,forest umbrella,gaudy,subtle,colorful,Classic,playful,trendy,classic bed; cream sofa; classic bookcase; kitchen sink; tall bovoid; White Cosmos; antique clock; phonograph; mega bovoid;,Soulful K.K.,modern wall,stone tile,Yes,まきば,Pinta,Valé,Angela,Tipper,마틸다,ミルミル,cuernitos,cuernitos,choupette,choupette,dingdong,sì sì sì,우유우유,No,,cow01,0034
Alfonso,,Alligator,Lazy,Male,June 9,it'sa me,big bro's shirt,leaf umbrella,strange,stylish,green,Exotic,playful,retro,retro stereo; glass-top table; exotic table; exotic chest; corn plant; mini rhythmoid; mini rhythmoid; mini rhythmoid; men's toilet;,Forest Life,imperial wall,charcoal tile,Yes,アルベルト,Kaimán,Alphonse,Markus,Alfonso,알베르트,だワニ,ñam-ñam,ñam-ñam,moi moi,moi moi,ahhhrg,proprio,나아거,No,,crd00,0035
Alli,,Alligator,Snooty,Female,November 8,graaagh,leopard shirt,sunny parasol,subtle,fresh,blue,Cabana,dignified,retro,cabana bed; sewing machine; ranch dresser; ranch couch; hi-fi stereo; daisy shirt; dark polka shirt; blue diamond top; natty shirt; lite polka shirt;,K.K. Chorale,cabana wall,cabana flooring,Yes,クロコ,Codrila,Allie,Ali,Alli,크로크,どすえ,lagartija,lagartija,graaagh,graaagh,graaach,graaag,얘야,No,,crd01,0036
Del,,Alligator,Cranky,Male,May 27,gronk,blue stripe knit,bat umbrella,striking,stylish,blue,Robo,dignified,retro,anchor; ship cannon; robo-dresser; amazing machine; reel-to-reel; ship compass; life ring; globe;,K.K. March,industrial wall,plank flooring,Yes,ヤマト,Croco,Hector,Krokki,Krokki,파도맨,プシュー,chomp,chomp,clap,clap,schnapp,chomp,처얼썩,No,,crd04,0037
Goldie,,Dog,Normal,Female,December 27,woof,dapper shirt,Toad parasol,stylish,striking,white,Regal,dignified,trendy,cabin table; cream sofa; green counter; regal bookcase; ranch bed; rocking chair; tall nebuloid; round cactus; cactus; turntable;,K.K. Bossa,blue-trim wall,birch flooring,Yes,キャラメル,Tere,Mirza,Bienchen,Dora,카라멜,ワン,guau-guau,guau-guau,ouaf,ouaf,wuff,wuf wuf,왈왈,No,,dog00,0038
Butch,,Dog,Cranky,Male,November 1,ROOOOOWF,arctic camo,spider umbrella,cool,cute,black,Modern,dignified,trendy,modern bed; gold stereo; modern table; nebuloid; blue golf bag; dart board; fan palm;,K.K. Fusion,concrete wall,modern tile,Yes,ジョン,Bruno,Avril,Hasso,Attila,존,ノン,gruf-gruf,gruf-gruf,WROOOOUF,WROOOOUF,GRRUFF,ROOOOOF,아니,No,,dog01,0039
Lucky,,Dog,Lazy,Male,November 4,rrr-owch,No. 23 shirt,bat umbrella,cool,striking,purple,Robo,dignified,retro,pyramid; sphinx; clothesline pole; watering trough; asteroid; mummy's casket; croakoid; Master Sword; asteroid;,K.K. Dirge,ancient wall,ancient tile,No,ラッキー,Pupas,Ramsès,Viktor,Felice,럭키,らしいよ,geniaaaal,guuuuAY,graaaouch,graaaouch,rrr-awau,ossorrr,그렇대,No,,dog02,003A
Biskit,,Dog,Lazy,Male,May 13,dawg,deep blue tee,sunny parasol,fresh,strange,orange,Ranch,dignified,retro,ranch bed; high-end stereo; cabin low table; ranch dresser; mega bovoid; straw hat; fan palm; cabin clock; ranch armchair;,K.K. Mambo,wood paneling,cabana flooring,Yes,ロビン,Amnesio,Crocket,Keks,Buffetto,로빈,だイヌ,guau,guau,clair,clair,kläff,brrranco,멍멍,No,,dog03,003B
Bones,,Dog,Lazy,Male,August 4,yip yip,caveman tunic,leaf umbrella,refined,gaudy,aqua,Kiddie,dignified,trendy,green bench; basic yellow bed; kiddie dresser; writing desk; computer; tall harmonoid; office chair; blue box; writing chair;,K.K. Ragtime,playroom wall,green rug,Yes,トミ,Cándido,Nonos,Strolch,Tobia,토미,ネッ,yip yip,yip yip,yip yip,yip yip,hechel,yip yip,옙,No,,dog04,003C
