Name,Image,Icon,Species,Personality,Gender,Default Catchphrase,Default Top,Default Umbrella,Birthday,Fav Fashion,Least Fav Fashion,Fav Color,Coffee,Fav Saying,Move-In Type,Wallpaper,Floor,House Song,House Model,Furniture,RV Song,RV Items,RV Description,Skill,Skill ID,Goal,Goal ID,Siblings,Siblings ID,Notes,Name (English EU),Name (Japanese),Name (Spanish NA),Name (Spanish EU),Name (French NA),Name (French EU),Name (German),Name (Italian),Name (Korean),Catchphrase (English EU),Catchphrase (Japanese),Catchphrase (Spanish NA),Catchphrase (Spanish EU),Catchphrase (French NA),Catchphrase (French EU),Catchphrase (German),Catchphrase (Italian),Catchphrase (Korean),Version Added,Hex ID (1.0),Hex ID (1.4),Internal ID,New To Series
Robin,,,Bird,Snooty,Female,la-di-da,kiwi tee,blue umbrella,December 4,official,sporty,aqua,,Always keep your wings manicured so you can fly away!,Starter,lattice wall,kitchen tile,K.K. Bossa,4,pine table (Green);Gracie bench;classic bookcase (Brown);Gracie chest;salmon;birdcage;snake plant;aloe;classic table (Brown - Brown);turntable;tea set;K.K. Bossa;gerbera;potted ivy;,-,-,-,skimming books,f28,dermatologist,f17,third of 4 sisters,f17,,-,パーチク,Aria,Aria,Robie,Robie,Jule,Rossana,파틱,-,さ,picatoste,picatoste,ta-di-da,ta-di-da,ladida,yuppidù,글쎄,1.0,0013,0016,brd01,No
Anchovy,,,Bird,Lazy,Male,chuurp,earthy knit shirt,yellow umbrella,March 4,flashy,iconic,colorful,,Why do today what you can put off until tomorrow.,Starter,modern wall,parquet floor,K.K. Ragtime,5,ebony piano (Black);billiard table;billiard table;retro stereo;classic sofa (Brown);pinball machine;pinball machine;dartboard;pinball machine;pinball machine;pendulum clock;,-,-,-,remembering stuff,m2A,explorer,m2A,eldest of 9 kids,m26,,-,アンチョビ,Boquerón,Boquerón,Miguel,Miguel,Armin,Acciuga,안쵸비,-,でシ,piu-piu,piu-piu,muf-muf,muf-muf,tschurp,ciripì,이어라,1.0,0014,0017,brd02,No
Twiggy,,,Bird,Peppy,Female,cheepers,barber tee,gelato umbrella,July 13,flashy,official,blue,,It's the early bird that catches the worm!,Starter,ranch wall,ranch flooring,K.K. Calypso,0,ranch table (Natural);ranch bed (Natural - White);blue bookcase (Blue);blue bureau (Blue);retro stereo;round cactus;cactus;warbloid;gargloid;blue chair (Blue);tall mini cactus;round mini cactus;ranch wall rack (Natural);,-,-,-,spoon bending,f2C,dentist,f1C,second of 4 sisters,f16,,-,ピーチク,Tití,Tití,Titi,Titi,Twiggy,Titti,핀틱,-,ッピ,tirití,tirití,coolos,coolos,zwirtschi,ciiip,크,1.0,0015,0018,brd03,No
Jitters,,,Bird,Jock,Male,bzzert,soccer tee,bat umbrella,February 2,sporty,cute,yellow,,"When you're a team of one, you're always captain!",Starter,shanty wall,backyard lawn,K.K. Samba,5,picnic table (Red gingham);tree standee;hammock (Purple - Purple);foosball table;clothesline pole (White shirt);oil barrel (Green);oil barrel (Green);mega fizzoid;lawn mower;cassette player (Red);,-,-,-,playing catch,m33,soccer player,m11,second quintuplet,m1A,,-,ジーニョ,Camelio,Camelio,Gilbert,Gilbert,Alex,Brivido,딩요,-,だニョ,pío-pío,pío-pío,bouerk,bouerk,zischhh,bzzert,삼바,1.0,0016,0019,brd04,No
Piper,,,Bird,Peppy,Female,chickadee,tropical tee,elegant umbrella,April 18,iconic,cute,black,,"Where there's life, there's hope.",Move-in,cityscape wall,panel carpet floor,K.K. Synth,2,shower stall;classic bed (Brown - White);console table (Wood grain);round-cloth table (White - Beige);reception chair;minifridge;single rose (Red);fish and chips;silver teapot;wall-mounted TV;,K.K. Synth,cityscape wall;panel carpet floor;console table (Wood grain);classic bed (Chocolate - White);minifridge;round-cloth table (White - White);reception chair;trunk (Orange);single rose (Red);silver teapot;fish and chips,"Sleeping under the stars? Not for Piper, unless you're talking five stars, as in hotels. Her camper is nice, but it doesn't have a concierge. Yet.",board games,f3F,translator,f24,eldest of 2 kids,f09,,-,レイコ,Bárbara,Bárbara,Neige,Neige,Iris,Giuliva,파이프,-,けどー,chupiyá,chupiyá,puic puic,puic puic,tschikadii,cocoricò,허나,1.4,-,001A,brd05,No
Admiral,,,Bird,Cranky,Male,aye aye,brown-bar tee,bat umbrella,January 27,modern,cute,black,,Only quitters give up.,Move-in,shanty wall,steel flooring,Steep Hill,2,kitchen stove;kitchen counter;kitchen dishwasher;cafeteria table (Green);metal box;kitchen refrigerator;garbage pail;pipe stool (Silver - Blue);pipe stool (Silver - Blue);imperial pot (Mapo dofu);dinnerware (Before use);ramen (Shoyu);water pot (Red);wall fan;sushi menu (Wooden frame);,Steep Hill,shanty wall;steel flooring;metal box;kitchen dishwasher;kitchen refrigerator;kitchen counter;kitchen stove;ramen (Tonkotsu);dinnerware (Before use);ramen (Shoyu);imperial pot (Mapo dofu),Don't ever confuse Admiral's noodles for instant. He's spent days simmering to achieve that depth of flavor. And that firm noodle texture is to die for!,writing about pickles,m1C,fisherman,m24,eldest of 4 kids,m0C,,-,イッテツ,Avutardo,Avutardo,Maréchal,Maréchal,Ansgar,Adolfo,일섭,-,ってか,avechucho,avechucho,cornichon,cornichon,"oh, ja",cipissi,오예,1.4,-,001B,brd06,No
Midge,,,Bird,Normal,Female,tweedledee,new spring tee,Toad parasol,March 12,iconic,rock 'n' roll,pink,,"When the world gets cold, just fly south.",Starter,parlor wall,birch flooring,K.K. Lullaby,5,regal bed (Royal yellow);lovely kitchen (Lovely pink);lovely love seat (Lovely pink - Lovely pink);lovely dresser (Lovely pink);lovely table (Lovely pink - Lovely pink);lovely chair (Lovely pink);lovely end table (Lovely pink - Lovely pink);regal lamp (Royal yellow - Royal yellow);refrigerator;plinkoid;humidifier (White);record player;tea set;ventilation fan;air conditioner;,-,-,-,tongue twisters,f08,artist,f2D,eldest of 10 kids,f27,,-,うずまき,Paloma,Paloma,Michèle,Michèle,Anna,Minù,핑글이,-,キョン,arrurrú,arrurrú,loulou,loulou,twitiriti,firulì,핑그르르,1.0,0017,001C,brd08,No
Jacob,,,Bird,Lazy,Male,ya feel,green tie-dye tee,leaf umbrella,August 24,basic,ornate,green,,Your greatest strength can be your greatest weakness.,Move-in,old wallpaper,ramshackle floor,K.K. Song,5,cardboard table;cardboard table;scattered papers (Documents);cardboard bed;scattered papers (Documents);round pillow (Yellow);trash bags (White);garbage bin (Red);stack of books (Western script);stacked magazines (Fashion);ramen cup;cans;ventilation fan;hospital TV;,K.K. Song,old wallpaper;ramshackle floor;cardboard table;cardboard bed;round pillow (Brown);garbage bin (Green);scattered papers (Drawing paper);trash bags (Black);stack of books (Manga);stacked magazines (Character);milk carton (Coffee milk);ramen cup,"When his house gets too messy, this guy flies the coop and hits the road in his van, which soon becomes even messier than his house.",staying up late,m22,poet,m0C,youngest of 5 kids,m18,,Jakey,ジャコテン,Repollo,Repollo,Jacob,Jacob,Jesko,Valerio,야곱,-,っつーの,pelusilla,pelusilla,asticô,asticô,tirilü,ciiipito,그거야,1.4,-,001D,brd11,No
Lucha,,,Bird,Smug,Male,cacaw,dragon jacket,flame umbrella,December 12,sporty,basic,red,,"Birds of a feather, et cetera, et cetera...",Starter,ringside seating,boxing-ring mat,K.K. Western,5,red corner;neutral corner;weight bench;boxing mat (Blue);treadmill;water cooler;bathroom stall;sandbag;speed bag;CD player;ventilation fan;,-,-,-,making faces,m32,pro wrestler,m15,fifth of 6 kids,m22,,-,マスカラス,Plumerio,Plumerio,Condor,Condor,Lukas,Loreto,마스카라스,-,カァー,picopico,picopico,yaaaah,yaaaah,mauser,lorito,까아악,1.0,0018,001E,brd15,Yes
Jacques,,,Bird,Smug,Male,zut alors,red flannel shirt,camo umbrella,June 22,flashy,ornate,green,,Better to have loved and squawked than to have never loved at all.,Starter,concrete wall,sleek carpet,K.K. House,2,DJ's turntable;vibraphone;sleek sofa (Black);sleek sofa (Black);standing spotlight;standing spotlight;music stand;modern end table (Monochromatic);amp;laptop (White);breaker;LED display (Star);,-,-,-,beat boxing,m3B,singer,m2E,third of 5 kids,m16,,-,ジョッキー,Gorrelmo,Gorrelmo,Jacky,Jacky,Pierre,Zampiero,쪼끼,-,チェケラ,chapó,chapó,ploc ploc,ploc ploc,piepiep,pio pio,체키라웃,1.0,0019,001F,brd16,Yes
Peck,,,Bird,Jock,Male,crunch,gray tank,leaf umbrella,July 25,sporty,official,beige,,The best defense is a good offense.,Starter,citrus wall,alpine rug,Forest Life,5,classic bed (Brown - White);hi-fi stereo;minimalist sofa (Ivory);foosball table;Diver Dan;classic clock (Brown);mini sproid;rubber tree;lady palm;air conditioner;,-,-,-,rock-paper-scissors,m0A,firefighter,m1A,youngest of 3 kids,m0B,,-,ふみたろう,Picuet,Picuet,Pec,Pec,Picko,Gheppio,문대,-,ブン,muy fuerte,muy fuerte,poupousse,poupousse,flatter,sprint,츠츠츠,1.0,001A,0020,brd17,Yes
Sparro,,,Bird,Jock,Male,like whoa,BB tee,forest umbrella,November 20,historical,cute,gray,,The proof of the pudding is in the eating.,Starter,garden wall,planked tatami,Steep Hill,2,hearth;tea tansu;wide-screen TV;sink;screen;stepladder;trash bin;holly bonsai;tape deck;breaker;,-,-,-,writing about pickles,m1C,musician,m2F,fourth of 5 kids,m17,,-,ちゅんのすけ,Jaime,Jaime,Darius,Darius,Nestor,Piumardo,춘섭,-,だチュン,gorrión,gorrión,piaaaaf,piaaaaf,birtz,adiós,섭섭,1.0,001B,0021,brd18,Yes
Medli,,,Bird,Normal,Female,gimme,Medli outfit,leaf umbrella,December 13,iconic,ornate,white,,A bird on the wing is worth two on the ground.,RV invitation,cabana wall,cabana flooring,K.K. Island,0,bamboo bench;wood-plank table;rice-plant bed;cabana bookcase (Plain);brown pot (Brown);brown pot (Brown);bottled ship;pitcher plant;Hero of Time scroll;,K.K. Island,Hyrule wall;Zelda floor;Medli outfit;Link outfit;Link hat;new hero's outfit;new hero wig;Hero of Time scroll;Rupee (Green Rupee);Heart;Cucco ornament;fairy bottle;Piece of Heart,"Fresh from Dragon Roost Island, it's Medli of the Rito tribe! Her flight skills are a little shaky, so she gets from dungeon to dungeon with her camper van.",helping others,c01,harpist,c01,only child,f01,,-,メドリ,Medli,Medli,Médolie,Médolie,Medolie,Famirè,메들리,-,くらさい,plimplín,plimplín,lalalyre,lalalyre,hilfhilf,plinplon,부탁해요,1.4,-,0022,brd19,Yes
Angus,,,Bull,Cranky,Male,macmoo,flame tee,flame umbrella,April 30,rock 'n' roll,ornate,green,,Even strong men cry.,Starter,old brick wall,checkered tile,Señor K.K.,4,classic bed (Brown - White);simple love seat (Red);classic buffet (Brown - Brown);billiard table;high-end stereo;mahjong table;dartboard;dracaena;classic table (Brown - Brown);hawthorn bonsai;bingo wheel;air conditioner;,-,-,-,doing handstands,m14,forest ranger,m22,second of 5 kids,m15,,-,セルバンテス,Aliste,Aliste,Angus,Angus,Angus,Angus,반데스,-,ふふ,cuernos,cuernos,meuh meuh,meuh meuh,brrruzzl,macmoo,후후,1.0,001C,0023,bul00,No
Rodeo,,,Bull,Lazy,Male,chaps,beatnik tee,blue dot parasol,October 29,historical,flashy,red,,Zzzzzzzzzzzzzzzzz...,Starter,concrete wall,steel flooring,Stale Cupcakes,1,star projector;modern bed (Monochromatic - Modern plaid);modern sofa (Monochromatic);modern cabinet (Monochromatic);gold stereo;lava lamp (Red);modern end table (Monochromatic);computer desk;telescope;pothos;star globe;homework set;wall-mounted speaker;exit sign;,-,-,-,spoon bending,m2C,astronaut,m25,youngest triplet,m06,,-,ロデオ,Rodeo,Rodeo,Flèche,Flèche,Toro,Rodeo,로데오,-,さすがに,olé,olé,crac,crac,oléolé,oléolé,디용,1.0,001D,0024,bul01,No
